customer_id,first_name,last_name,gender,date_of_birth,join_date,income,city,province,customer_age,customer_tenure
1,Anthony,Miller,Male,1977-01-25,2019-11-21,54798.03,Sydney,Nova Scotia,48,5
2,Brian,Santana,Male,1951-12-14,2021-10-20,129005.46,Hamilton,Ontario,73,3
3,Kimberly,Cook,Female,2007-05-04,2016-03-27,64303.77,Ottawa,Ontario,18,9
4,Christopher,Rogers,Male,1972-01-26,2019-07-11,63838.17,Prince Albert,Saskatchewan,53,5
5,Christopher,Bullock,Male,2001-12-30,2016-11-04,41290.99,Halifax,Nova Scotia,23,8
6,Sherry,Gray,Female,1949-10-20,2020-09-20,29084.0,Prince Albert,Saskatchewan,75,4
7,Monique,Garcia,Female,1952-05-04,2016-12-06,33264.77,Toronto,Ontario,73,8
8,Michael,Martinez,Male,1950-10-19,2020-04-26,36412.46,Mississauga,Ontario,74,5
9,Susan,Berry,Female,1967-05-30,2023-05-04,94543.05,Brandon,Manitoba,57,2
10,Ryan,Mack,Male,1972-09-22,2024-03-24,119943.32,Prince Albert,Saskatchewan,52,1
11,Rebecca,Clark,Female,1990-10-16,2024-04-27,46892.12,Summerside,Prince Edward Island,34,1
12,Karl,Yu,Male,1950-03-17,2022-02-16,71770.96,Corner Brook,Newfoundland and Labrador,75,3
13,Stephanie,Lucas,Female,1978-11-30,2024-07-07,87679.17,Sydney,Nova Scotia,46,0
14,Mark,Estrada,Male,2006-01-28,2023-08-16,130154.43,Vancouver,British Columbia,19,1
15,Kelly,Barnes,Female,1984-01-24,2015-11-23,105549.64,Surrey,British Columbia,41,9
16,Sarah,Brewer,Female,1998-09-30,2016-10-04,92046.48,Gatineau,Quebec,26,8
17,Susan,Barrett,Female,1960-12-06,2021-01-18,94511.91,Saskatoon,Saskatchewan,64,4
18,George,Myers,Male,1954-05-05,2023-02-15,96206.23,Saskatoon,Saskatchewan,71,2
19,Jasmine,Osborne,Female,1950-06-19,2018-07-27,149681.83,Dartmouth,Nova Scotia,74,6
20,Kevin,Decker,Male,1974-02-03,2015-07-28,103044.11,Fredericton,New Brunswick,51,9
21,Steven,Bright,Male,1976-12-18,2024-05-27,90742.11,Victoria,British Columbia,48,0
22,Kathryn,Holloway,Female,1953-06-02,2020-03-31,69216.72,Moncton,New Brunswick,71,5
23,William,Maynard,Male,1992-03-23,2019-04-29,37514.59,Calgary,Alberta,33,6
24,Kimberly,Hooper,Female,1959-10-26,2024-06-23,123855.55,Brandon,Manitoba,65,0
25,Jill,Walton,Female,1952-05-10,2015-07-12,20046.19,Charlottetown,Prince Edward Island,73,9
26,Brandy,Lee,Female,1966-10-19,2021-05-05,111916.83,Gatineau,Quebec,58,4
27,Michael,Blevins,Male,1992-07-07,2022-07-04,123445.49,Halifax,Nova Scotia,32,2
28,April,Williamson,Female,1984-01-31,2021-05-24,23787.79,Regina,Saskatchewan,41,3
29,Michelle,Miller,Female,1949-12-08,2024-06-20,24294.05,Corner Brook,Newfoundland and Labrador,75,0
30,Jamie,Payne,Female,1992-07-28,2022-03-25,65287.71,Kelowna,British Columbia,32,3
31,Allen,Morris,Male,1981-07-05,2015-12-01,113303.33,Surrey,British Columbia,43,9
32,Paul,Rogers,Male,1973-01-22,2015-10-04,116734.82,Hamilton,Ontario,52,9
33,Margaret,Booker,Female,1977-11-14,2016-06-12,38998.1,Brandon,Manitoba,47,8
34,Michelle,Shelton,Female,1974-09-04,2019-05-09,36441.09,Prince Albert,Saskatchewan,50,6
35,Patrick,Summers,Male,1992-01-22,2016-04-29,101850.29,Summerside,Prince Edward Island,33,9
36,Norma,Hughes,Female,1970-03-10,2017-11-03,28067.25,Kelowna,British Columbia,55,7
37,Thomas,Barton,Male,1969-03-03,2021-12-22,65440.16,Saint John,New Brunswick,56,3
38,Isabella,Nichols,Female,1972-05-03,2024-02-25,122844.19,Ottawa,Ontario,53,1
39,Barbara,Jackson,Female,1989-06-16,2021-12-04,133281.31,St. John's,Newfoundland and Labrador,35,3
40,Jessica,Figueroa,Female,1980-04-19,2015-09-15,85015.93,Corner Brook,Newfoundland and Labrador,45,9
41,Gregory,Pitts,Male,1999-09-21,2023-01-11,136146.36,Saskatoon,Saskatchewan,25,2
42,Elizabeth,Moody,Female,1951-04-12,2018-01-19,140876.07,Edmonton,Alberta,74,7
43,Kelly,Savage,Female,1984-05-19,2024-10-27,54391.32,Toronto,Ontario,41,0
44,Chad,Porter,Male,1986-06-22,2021-08-18,85667.03,Ottawa,Ontario,38,3
45,Courtney,Hudson,Female,1955-09-03,2019-12-23,93401.18,Laval,Quebec,69,5
46,Timothy,Sanchez,Male,1971-04-09,2019-11-08,64348.75,St. John's,Newfoundland and Labrador,54,5
