customer_id,first_name,last_name,gender,date_of_birth,join_date,income,city,province,total_loan_amount,average_loan_to_income_ratio
1,Anthony,Miller,Male,1977-01-25,2019-11-21,54798.03,Sydney,Nova Scotia,30030.62,0.5480237154510846
2,Brian,Santana,Male,1951-12-14,2021-10-20,129005.46,Hamilton,Ontario,,
3,Kimberly,Cook,Female,2007-05-04,2016-03-27,64303.77,Ottawa,Ontario,,
4,Christopher,Rogers,Male,1972-01-26,2019-07-11,63838.17,Prince Albert,Saskatchewan,,
5,Christopher,Bullock,Male,2001-12-30,2016-11-04,41290.99,Halifax,Nova Scotia,,
6,Sherry,Gray,Female,1949-10-20,2020-09-20,29084.0,Prince Albert,Saskatchewan,,
7,Monique,Garcia,Female,1952-05-04,2016-12-06,33264.77,Toronto,Ontario,10004.07,0.3007406935325271
8,Michael,Martinez,Male,1950-10-19,2020-04-26,36412.46,Mississauga,Ontario,,
9,Susan,Berry,Female,1967-05-30,2023-05-04,94543.05,Brandon,Manitoba,473888.15,2.5062029942973068
10,Ryan,Mack,Male,1972-09-22,2024-03-24,119943.32,Prince Albert,Saskatchewan,,
11,Rebecca,Clark,Female,1990-10-16,2024-04-27,46892.12,Summerside,Prince Edward Island,,
12,Karl,Yu,Male,1950-03-17,2022-02-16,71770.96,Corner Brook,Newfoundland and Labrador,228481.3,3.183478387358898
13,Stephanie,Lucas,Female,1978-11-30,2024-07-07,87679.17,Sydney,Nova Scotia,248985.7,2.8397360513335155
14,Mark,Estrada,Male,2006-01-28,2023-08-16,130154.43,Vancouver,British Columbia,,
15,Kelly,Barnes,Female,1984-01-24,2015-11-23,105549.64,Surrey,British Columbia,15261.45,0.14459026103736594
16,Sarah,Brewer,Female,1998-09-30,2016-10-04,92046.48,Gatineau,Quebec,437369.39,4.751614510408221
17,Susan,Barrett,Female,1960-12-06,2021-01-18,94511.91,Saskatoon,Saskatchewan,,
18,George,Myers,Male,1954-05-05,2023-02-15,96206.23,Saskatoon,Saskatchewan,,
19,Jasmine,Osborne,Female,1950-06-19,2018-07-27,149681.83,Dartmouth,Nova Scotia,,
20,Kevin,Decker,Male,1974-02-03,2015-07-28,103044.11,Fredericton,New Brunswick,,
21,Steven,Bright,Male,1976-12-18,2024-05-27,90742.11,Victoria,British Columbia,21229.47,0.11697694708663928
22,Kathryn,Holloway,Female,1953-06-02,2020-03-31,69216.72,Moncton,New Brunswick,259250.86,3.745494730175021
23,William,Maynard,Male,1992-03-23,2019-04-29,37514.59,Calgary,Alberta,313046.44,8.344658438223636
24,Kimberly,Hooper,Female,1959-10-26,2024-06-23,123855.55,Brandon,Manitoba,82329.93,0.33236269993552975
25,Jill,Walton,Female,1952-05-10,2015-07-12,20046.19,Charlottetown,Prince Edward Island,,
